-40.2701	-16.9057
-46.5397	-15.8971
-59.0800	-13.4764
-33.9997	-18.1160
-15.1890	-15.9687
-21.4590	-17.3763
-27.7293	-18.7211
-52.8100	-14.6195
19.4316	-12.5140
13.1612	-10.9839
6.8909	-9.5151
25.7016	-11.4619
44.5119	-7.3772
38.2415	-8.9244
31.9719	-10.2241
-51.1100	-20.8895
47.5119	-13.6472
41.2415	-15.1944
-57.3800	-19.7464
-32.2997	-24.3860
-38.5701	-23.1757
-44.8397	-22.1671
34.9719	-16.4941
3.6211	-15.1730
-2.6493	-13.4593
-8.9190	-14.0714
9.8909	-15.7851
28.7016	-17.7319
22.4316	-18.7840
16.1612	-17.2539
0.6211	-8.9030
-10.2190	-1.5314
-16.4890	-3.4287
-22.7590	-4.8363
-3.9493	-0.9193
14.8612	-4.7139
8.5909	-3.2451
2.3211	-2.6330
-29.0293	-6.1811
-54.1100	-2.0795
49.2119	5.1628
42.9415	3.6156
-60.3800	-0.9364
-35.2997	-5.5760
-41.5701	-4.3657
-47.8397	-3.3571
-30.7293	-12.4511
-36.9997	-11.8460
-43.2701	-10.6357
-24.4590	-11.1063
-5.6493	-7.1893
-11.9190	-7.8014
-18.1890	-9.6987
-49.5397	-9.6271
33.6719	-3.9541
27.4016	-5.1919
21.1316	-6.2440
39.9415	-2.6544
-62.0800	-7.2064
-55.8100	-8.3495
46.2119	-1.1072
-26.0293	-24.9911
6.8909	-34.5951
0.6211	-33.9830
-5.6493	-32.2693
13.1612	-36.0639
31.9719	-35.3041
25.7016	-36.5419
19.4316	-37.5940
-11.9190	-32.8814
-43.2701	-35.7157
-49.5397	-34.7071
-62.0800	-32.2864
-36.9997	-36.9260
-18.1890	-34.7787
-24.4590	-36.1863
-30.7293	-37.5311
122.4810	42.3586
116.2110	40.4613
109.9410	39.0537
128.7507	42.9707
87.8603	34.2629
75.3200	36.6836
81.5900	35.5405
103.6707	37.7089
78.5900	41.8105
44.5119	-32.4572
38.2415	-34.0044
